player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Aleksandar Pavlovic,Bayern Munich,MF,43,0.5,0.0,10.0,0.0,0.0,2.0,0.0,2.0
Dženan Pejčinović,Wolfsburg,FW,132,1.5,0.0,2.0,3.3333333333333335,0.5333333333333333,0.0,0.6666666666666666,1.3333333333333333
Mathias Pereira Lage,St. Pauli,"FW,MF",171,1.9,1.5789473684210527,2.1052631578947367,2.6315789473684212,0.4210526315789474,0.5263157894736842,0.5263157894736842,0.5263157894736842
Rayan Philippe,Hamburger SV,"FW,DF",41,0.5,0.0,0.0,2.0,0.2,0.0,0.0,4.0
Ernest Poku,Leverkusen,"MF,FW",64,0.7,0.0,4.285714285714286,0.0,0.0,0.0,0.0,2.857142857142857
Yussuf Poulsen,Hamburger SV,FW,52,0.6,0.0,3.3333333333333335,1.6666666666666667,0.33333333333333337,0.0,0.0,0.0
Alexander Prass,Hoffenheim,"FW,DF",21,0.2,5.0,10.0,0.0,0.0,0.0,5.0,5.0
Grischa Prömel,Hoffenheim,"MF,DF",35,0.4,0.0,10.0,10.0,1.0,0.0,2.5,7.5
Arkadiusz Pyrka,St. Pauli,DF,134,1.5,2.0,5.333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333
Jarell Quansah,Leverkusen,DF,180,2.0,0.5,3.5,0.5,0.05,1.5,1.0,1.0
Leopold Querfeld,Union Berlin,DF,180,2.0,0.0,1.5,1.5,0.05,1.5,0.0,0.0
Diant Ramaj,Heidenheim,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Ranos,Gladbach,DF,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Raum,RB Leipzig,DF,180,2.0,3.0,5.5,0.5,0.0,2.0,0.5,3.5
Rocco Reitz,Gladbach,MF,173,1.9,1.0526315789473684,7.894736842105264,2.1052631578947367,0.052631578947368425,3.1578947368421053,1.5789473684210527,3.1578947368421053
Nicolai Remberg,Hamburger SV,MF,180,2.0,0.0,3.0,0.5,0.0,1.5,2.0,1.0
Elvis Rexhbeçaj,Augsburg,MF,73,0.8,2.5,3.75,0.0,0.0,0.0,2.5,1.25
Lars Ritzka,St. Pauli,DF,9,0.1,0.0,10.0,0.0,0.0,0.0,10.0,0.0
Merlin Röhl,Freiburg,"FW,MF",66,0.7,0.0,1.4285714285714286,0.0,0.0,0.0,1.4285714285714286,1.4285714285714286
Rômulo,RB Leipzig,FW,129,1.4,0.7142857142857143,3.5714285714285716,2.857142857142857,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.0
Tom Rothe,Union Berlin,DF,180,2.0,0.5,2.5,1.0,0.1,0.5,0.5,0.0
Julian Ryerson,Dortmund,DF,15,0.2,5.0,20.0,0.0,0.0,5.0,5.0,5.0
Frederik Rønnow,Union Berlin,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Røssing-Lelesiit,Hamburger SV,FW,128,1.4,0.0,0.0,0.7142857142857143,0.0,0.0,1.4285714285714286,0.0
Elias Saad,Augsburg,"FW,MF",132,1.5,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.06666666666666667,0.6666666666666666,0.0,3.3333333333333335
Marcel Sabitzer,Dortmund,MF,175,1.9,0.5263157894736842,6.315789473684211,0.5263157894736842,0.052631578947368425,1.0526315789473684,0.5263157894736842,1.0526315789473684
Emir Sahiti,Hamburger SV,FW,120,1.3,0.7692307692307692,0.7692307692307692,0.0,0.0,0.0,0.0,3.846153846153846
Manolis Saliakas,St. Pauli,DF,46,0.5,4.0,14.0,2.0,0.0,0.0,2.0,2.0
Philipp Sander,Gladbach,MF,172,1.9,0.0,4.2105263157894735,2.6315789473684212,0.2105263157894737,2.1052631578947367,2.1052631578947367,1.0526315789473684
James Sands,St. Pauli,MF,176,2.0,0.0,3.0,1.0,0.05,0.5,3.0,0.5
Kaishu Sano,Mainz 05,MF,180,2.0,0.5,5.0,2.0,0.1,2.0,0.0,0.0
Joe Scally,Gladbach,DF,174,1.9,1.0526315789473684,5.2631578947368425,0.5263157894736842,0.0,0.0,0.5263157894736842,1.5789473684210527
András Schäfer,Union Berlin,MF,90,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Derry Scherhant,Freiburg,MF,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrik Schick,Leverkusen,FW,180,2.0,0.0,0.5,0.5,0.6,0.5,0.5,0.0
